응답자ID,부서,직급,교육일자,전반만족도,강사만족도,내용만족도,난이도,업무활용도,좋았던 점,개선점,희망 주제
R001,영업본부,팀장,2026-01-15,5,5,5,4,5,실무 예시가 구체적이라 바로 적용 가능했다,실습 시간이 더 필요하다,사내 AI 툴 심화 활용
R002,영업본부,팀장,2026-01-15,5,5,4,4,5,프롬프트 4원칙 설명이 명확했다,교재·자료 배포가 늦었다,계약서·법무 문서 리뷰 자동화
R003,영업본부,임원,2026-01-15,5,5,5,3,5,강사의 실제 현업 사례가 인상적이었다,3시간이 짧았다. 핵심만 다뤄 아쉬움이 있다,시장 조사·경쟁사 분석
R004,영업본부,팀장,2026-01-22,5,5,4,4,4,"사내 툴(Qwen, SKMS Copilot) 활용 팁이 유익했다",실습 시간이 더 필요하다,한·중 보고서 번역 품질 관리
R005,영업본부,팀장,2026-01-22,4,5,5,4,5,데이터 분석 워크플로우가 실전적이었다,후속 심화 과정이 있었으면 좋겠다,회의록 자동 정리·요약
R006,영업본부,팀장,2026-01-22,5,4,5,3,5,PPT 자동화 실습이 재미있었다,3시간이 짧았다. 핵심만 다뤄 아쉬움이 있다,엑셀·데이터 시각화 자동화
R007,영업본부,임원,2026-01-29,5,5,5,4,5,AI 환각 검증 방법을 배운 것이 가장 좋았다,중국 사내망에서 일부 도구 접속이 불안정했다,이미지·영상 생성 AI 업무 적용
R008,영업본부,팀장,2026-01-29,4,5,4,4,4,짧은 시간에 핵심만 짚어줘서 효율적이었다,실습 시간이 더 필요하다,사내 AI 툴 심화 활용
R009,영업본부,팀장,2026-01-29,5,5,5,4,5,실습 결과물을 즉시 업무에 쓸 수 있다,교재·자료 배포가 늦었다,계약서·법무 문서 리뷰 자동화
R010,영업본부,팀장,2026-02-05,4,4,4,4,4,실무 예시가 구체적이라 바로 적용 가능했다,3시간이 짧았다. 핵심만 다뤄 아쉬움이 있다,재무 분석 및 리포트 작성
R011,전략기획본부,팀장,2026-02-05,4,5,4,3,4,프롬프트 4원칙 설명이 명확했다,AI 미경험자에게는 난이도가 높았다,시장 조사·경쟁사 분석
R012,전략기획본부,팀장,2026-02-05,4,4,5,4,4,한·중 병기 자료가 이해에 도움되었다,일부 용어 통역이 어색했다,한·중 보고서 번역 품질 관리
R013,전략기획본부,임원,2026-02-12,5,5,5,4,4,강사의 실제 현업 사례가 인상적이었다,후속 심화 과정이 있었으면 좋겠다,
R014,전략기획본부,팀장,2026-02-12,4,4,4,3,4,리서치 단계별 접근법이 체계적이었다,교재·자료 배포가 늦었다,회의록 자동 정리·요약
R015,전략기획본부,팀장,2026-02-12,3,4,4,3,3,PPT 자동화 실습이 재미있었다,실습 시간이 더 필요하다,엑셀·데이터 시각화 자동화
R016,전략기획본부,팀장,2026-02-19,4,4,4,3,4,실무 예시가 구체적이라 바로 적용 가능했다,AI 미경험자에게는 난이도가 높았다,이미지·영상 생성 AI 업무 적용
R017,전략기획본부,팀장,2026-02-19,4,4,4,4,4,한·중 병기 자료가 이해에 도움되었다,3시간이 짧았다. 핵심만 다뤄 아쉬움이 있다,사내 AI 툴 심화 활용
R018,전략기획본부,임원,2026-02-19,4,4,5,3,4,AI 환각 검증 방법을 배운 것이 가장 좋았다,일부 용어 통역이 어색했다,계약서·법무 문서 리뷰 자동화
R019,재무본부,팀장,2026-02-26,4,4,4,3,3,데이터 분석 워크플로우가 실전적이었다,실습 시간이 더 필요하다,재무 분석 및 리포트 작성
R020,재무본부,팀장,2026-02-26,3,4,4,3,3,"사내 툴(Qwen, SKMS Copilot) 활용 팁이 유익했다",AI 미경험자에게는 난이도가 높았다,시장 조사·경쟁사 분석
R021,재무본부,임원,2026-02-26,4,4,4,3,4,교차 검증 기법을 바로 써먹을 수 있겠다,후속 심화 과정이 있었으면 좋겠다,
R022,재무본부,팀장,2026-03-05,4,5,4,4,4,리서치 단계별 접근법이 체계적이었다,3시간이 짧았다. 핵심만 다뤄 아쉬움이 있다,한·중 보고서 번역 품질 관리
R023,재무본부,팀장,2026-03-05,3,4,3,2,3,실습 결과물을 즉시 업무에 쓸 수 있다,중국 사내망에서 일부 도구 접속이 불안정했다,회의록 자동 정리·요약
R024,재무본부,팀장,2026-03-05,4,5,4,3,4,짧은 시간에 핵심만 짚어줘서 효율적이었다,교재·자료 배포가 늦었다,엑셀·데이터 시각화 자동화
R025,재무본부,임원,2026-03-12,4,4,5,4,4,PPT 자동화 실습이 재미있었다,실습 시간이 더 필요하다,이미지·영상 생성 AI 업무 적용
R026,생산본부,팀장,2026-03-12,4,4,4,3,4,데이터 분석 워크플로우가 실전적이었다,중국 사내망에서 일부 도구 접속이 불안정했다,사내 AI 툴 심화 활용
R027,생산본부,팀장,2026-03-12,4,4,4,3,4,실무 예시가 구체적이라 바로 적용 가능했다,AI 미경험자에게는 난이도가 높았다,계약서·법무 문서 리뷰 자동화
R027,생산본부,팀장,2026-03-19,4,4,4,3,4,프롬프트 4원칙 설명이 명확했다,3시간이 짧았다. 핵심만 다뤄 아쉬움이 있다,시장 조사·경쟁사 분석
R028,생산본부,팀장,2026-03-19,4,4,4,9,4,한·중 병기 자료가 이해에 도움되었다,실습 시간이 더 필요하다,한·중 보고서 번역 품질 관리
R029,생산본부,임원,2026-03-19,3,3,4,2,3,강사의 실제 현업 사례가 인상적이었다,후속 심화 과정이 있었으면 좋겠다,회의록 자동 정리·요약
R030,생산본부,팀장,2026-01-15,4,4,4,3,4,"사내 툴(Qwen, SKMS Copilot) 활용 팁이 유익했다",교재·자료 배포가 늦었다,엑셀·데이터 시각화 자동화
R031,생산본부,팀장,2026-01-15,4,4,4,3,4,교차 검증 기법을 바로 써먹을 수 있겠다,일부 용어 통역이 어색했다,이미지·영상 생성 AI 업무 적용
R032,생산본부,팀장,,4,4,3,3,4,실습 결과물을 즉시 업무에 쓸 수 있다,3시간이 짧았다. 핵심만 다뤄 아쉬움이 있다,사내 AI 툴 심화 활용
R033,생산본부,팀장,2026-01-22,4,4,4,3,4,리서치 단계별 접근법이 체계적이었다,AI 미경험자에게는 난이도가 높았다,계약서·법무 문서 리뷰 자동화
R034,생산본부,임원,2026-01-22,4,5,5,4,4,AI 환각 검증 방법을 배운 것이 가장 좋았다,실습 시간이 더 필요하다,재무 분석 및 리포트 작성
R035,R&D본부,임원,2026-01-29,5,5,5,4,5,PPT自动化练习有趣实用,希望有进阶课程,市场与竞品分析
R036,R&D본부,팀장,2026-01-29,4,4,4,3,4,数据分析流程非常实战化,教材分发滞后,中韩报告翻译质量管理
R037,R&D본부,팀장,2026-02-05,4,4,5,3,4,"在短时间内切中要点,效率高",部分术语翻译不太准确,会议纪要自动整理
R038,R&D본부,팀장,2026-02-05,4,4,4,4,4,中韩对照资料有助于理解,练习时间不够,Excel与数据可视化自动化
R039,R&D본부,팀장,2026-02-12,5,5,5,4,5,提示词四原则讲解清晰,"3小时太短,内容意犹未尽",图像视频生成AI在业务中的应用
R040,R&D본부,임원,2026-02-12,4,4,4,3,4,讲师的一线实战案例令人印象深刻,对初学者难度偏高,内部AI工具进阶应用
R041,R&D본부,팀장,2026-02-19,4,4,4,3,4,"实务案例具体,能够直接应用",练习时间不够,合同法务审核自动化
R042,R&D본부,팀장,2026-02-19,4,5,4,4,5,学到AI幻觉的验证方法最为受益,中国内网访问部分工具不稳定,财务分析与报告
R043,HR본부,팀장,2026-02-26,4,5,4,3,4,中韩对照资料有助于理解,部分术语翻译不太准确,市场与竞品分析
R044,HR본부,팀장,2026-02-26,4,4,4,3,4,内部工具(Qwen、SKMS Copilot)使用技巧很有帮助,希望有进阶课程,中韩报告翻译质量管理
R045,HR본부,임원,2026-03-05,3,4,3,2,3,练习成果可直接用于工作,练习时间不够,
R046,HR본부,팀장,2026-03-05,4,4,4,3,4,调研的分阶段方法很有条理,教材分发滞后,会议纪要自动整理
R047,HR본부,팀장,2026-03-12,4,4,4,3,4,PPT自动化练习有趣实用,对初学者难度偏高,Excel与数据可视化自动化
R048,HR본부,팀장,2026-03-12,4,5,4,3,4,"在短时间内切中要点,效率高","3小时太短,内容意犹未尽",图像视频生成AI在业务中的应用
R049,HR본부,팀장,2026-03-19,5,4,5,4,5,交叉验证技巧可立即应用,中国内网访问部分工具不稳定,内部AI工具进阶应用
