回答者ID,部门,职级,教育日期,总体满意度,讲师满意度,内容满意度,难度,工作实用性,优点,改善点,希望主题
R001,销售本部,团队长,2026-01-15,5,5,5,4,5,"实务案例具体,能够直接应用",练习时间不够,内部AI工具进阶应用
R002,销售本部,团队长,2026-01-15,5,5,4,4,5,提示词四原则讲解清晰,教材分发滞后,合同法务审核自动化
R003,销售本部,高管,2026-01-15,5,5,5,3,5,讲师的一线实战案例令人印象深刻,"3小时太短,内容意犹未尽",市场与竞品分析
R004,销售本部,团队长,2026-01-22,5,5,4,4,4,内部工具(Qwen、SKMS Copilot)使用技巧很有帮助,练习时间不够,中韩报告翻译质量管理
R005,销售本部,团队长,2026-01-22,4,5,5,4,5,数据分析流程非常实战化,希望有进阶课程,会议纪要自动整理
R006,销售本部,团队长,2026-01-22,5,4,5,3,5,PPT自动化练习有趣实用,"3小时太短,内容意犹未尽",Excel与数据可视化自动化
R007,销售本部,高管,2026-01-29,5,5,5,4,5,学到AI幻觉的验证方法最为受益,中国内网访问部分工具不稳定,图像视频生成AI在业务中的应用
R008,销售本部,团队长,2026-01-29,4,5,4,4,4,"在短时间内切中要点,效率高",练习时间不够,内部AI工具进阶应用
R009,销售本部,团队长,2026-01-29,5,5,5,4,5,练习成果可直接用于工作,教材分发滞后,合同法务审核自动化
R010,销售本部,团队长,2026-02-05,4,4,4,4,4,"实务案例具体,能够直接应用","3小时太短,内容意犹未尽",财务分析与报告
R011,战略企划本部,团队长,2026-02-05,4,5,4,3,4,提示词四原则讲解清晰,对初学者难度偏高,市场与竞品分析
R012,战略企划本部,团队长,2026-02-05,4,4,5,4,4,中韩对照资料有助于理解,部分术语翻译不太准确,中韩报告翻译质量管理
R013,战略企划本部,高管,2026-02-12,5,5,5,4,4,讲师的一线实战案例令人印象深刻,希望有进阶课程,
R014,战略企划本部,团队长,2026-02-12,4,4,4,3,4,调研的分阶段方法很有条理,教材分发滞后,会议纪要自动整理
R015,战略企划本部,团队长,2026-02-12,3,4,4,3,3,PPT自动化练习有趣实用,练习时间不够,Excel与数据可视化自动化
R016,战略企划本部,团队长,2026-02-19,4,4,4,3,4,"实务案例具体,能够直接应用",对初学者难度偏高,图像视频生成AI在业务中的应用
R017,战略企划本部,团队长,2026-02-19,4,4,4,4,4,中韩对照资料有助于理解,"3小时太短,内容意犹未尽",内部AI工具进阶应用
R018,战略企划本部,高管,2026-02-19,4,4,5,3,4,学到AI幻觉的验证方法最为受益,部分术语翻译不太准确,合同法务审核自动化
R019,财务本部,团队长,2026-02-26,4,4,4,3,3,数据分析流程非常实战化,练习时间不够,财务分析与报告
R020,财务本部,团队长,2026-02-26,3,4,4,3,3,内部工具(Qwen、SKMS Copilot)使用技巧很有帮助,对初学者难度偏高,市场与竞品分析
R021,财务本部,高管,2026-02-26,4,4,4,3,4,交叉验证技巧可立即应用,希望有进阶课程,
R022,财务本部,团队长,2026-03-05,4,5,4,4,4,调研的分阶段方法很有条理,"3小时太短,内容意犹未尽",中韩报告翻译质量管理
R023,财务本部,团队长,2026-03-05,3,4,3,2,3,练习成果可直接用于工作,中国内网访问部分工具不稳定,会议纪要自动整理
R024,财务本部,团队长,2026-03-05,4,5,4,3,4,"在短时间内切中要点,效率高",教材分发滞后,Excel与数据可视化自动化
R025,财务本部,高管,2026-03-12,4,4,5,4,4,PPT自动化练习有趣实用,练习时间不够,图像视频生成AI在业务中的应用
R026,生产本部,团队长,2026-03-12,4,4,4,3,4,数据分析流程非常实战化,中国内网访问部分工具不稳定,内部AI工具进阶应用
R027,生产本部,团队长,2026-03-12,4,4,4,3,4,"实务案例具体,能够直接应用",对初学者难度偏高,合同法务审核自动化
R027,生产本部,团队长,2026-03-19,4,4,4,3,4,提示词四原则讲解清晰,"3小时太短,内容意犹未尽",市场与竞品分析
R028,生产本部,团队长,2026-03-19,4,4,4,9,4,中韩对照资料有助于理解,练习时间不够,中韩报告翻译质量管理
R029,生产本部,高管,2026-03-19,3,3,4,2,3,讲师的一线实战案例令人印象深刻,希望有进阶课程,会议纪要自动整理
R030,生产本部,团队长,2026-01-15,4,4,4,3,4,内部工具(Qwen、SKMS Copilot)使用技巧很有帮助,教材分发滞后,Excel与数据可视化自动化
R031,生产本部,团队长,2026-01-15,4,4,4,3,4,交叉验证技巧可立即应用,部分术语翻译不太准确,图像视频生成AI在业务中的应用
R032,生产本部,团队长,,4,4,3,3,4,练习成果可直接用于工作,"3小时太短,内容意犹未尽",内部AI工具进阶应用
R033,生产本部,团队长,2026-01-22,4,4,4,3,4,调研的分阶段方法很有条理,对初学者难度偏高,合同法务审核自动化
R034,生产本部,高管,2026-01-22,4,5,5,4,4,学到AI幻觉的验证方法最为受益,练习时间不够,财务分析与报告
R035,研发本部,高管,2026-01-29,5,5,5,4,5,PPT 자동화 실습이 재미있었다,후속 심화 과정이 있었으면 좋겠다,시장 조사·경쟁사 분석
R036,研发本部,团队长,2026-01-29,4,4,4,3,4,데이터 분석 워크플로우가 실전적이었다,교재·자료 배포가 늦었다,한·중 보고서 번역 품질 관리
R037,研发本部,团队长,2026-02-05,4,4,5,3,4,짧은 시간에 핵심만 짚어줘서 효율적이었다,일부 용어 통역이 어색했다,회의록 자동 정리·요약
R038,研发本部,团队长,2026-02-05,4,4,4,4,4,한·중 병기 자료가 이해에 도움되었다,실습 시간이 더 필요하다,엑셀·데이터 시각화 자동화
R039,研发本部,团队长,2026-02-12,5,5,5,4,5,프롬프트 4원칙 설명이 명확했다,3시간이 짧았다. 핵심만 다뤄 아쉬움이 있다,이미지·영상 생성 AI 업무 적용
R040,研发本部,高管,2026-02-12,4,4,4,3,4,강사의 실제 현업 사례가 인상적이었다,AI 미경험자에게는 난이도가 높았다,사내 AI 툴 심화 활용
